Fecha,Partida,Descripcion,Pais,Region,Unidad,Cantidad,FOB
20220201,7318.19.00,"Iron or steel, threaded articles similar to screws, bolts, nuts, coach screws & screw hooks, nesoi",Finland,Europa y Asia central,kilograms,21,"2,117"
20220201,7318.16.00,"Iron or steel, nuts",Germany,Europa y Asia central,kilograms,22,"2,154"
20220201,7307.92.90,"Iron or steel (o/than stainless), not cast, threaded elbow and bends for tubes/pipes",Italy,Europa y Asia central,kilograms,191,"2,173"
20220101,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)",United Kingdom,Europa y Asia central,kilograms,1,"2,380"
20220101,7315.11.00,"Iron or steel, roller chain",Taiwan,Asia oriental y el Pacifico,kilograms,238,"2,149"
20220101,7326.90.86,"Iron or steel, articles, nesoi",Germany,Europa y Asia central,kilograms,7,"2,580"
20220201,7318.16.00,"Iron or steel, nuts",Taiwan,Asia oriental y el Pacifico,kilograms,129,"2,571"
20220201,7318.15.20,"Iron or steel, bolts and bolts & their nuts or washers, imported in the same shipment",Spain,Europa y Asia central,kilograms,2,"2,724"
20220201,7307.92.30,"Iron or steel (o/than stainless), not cast, threaded sleeves (couplings) for tubes/pipes",China,Asia oriental y el Pacifico,kilograms,210,"2,520"
20220201,7318.22.00,"Iron or steel, washers (o/than spring washers and other lock washers)",Finland,Europa y Asia central,kilograms,28,"2,760"
20220201,7318.15.20,"Iron or steel, bolts and bolts & their nuts or washers, imported in the same shipment",Denmark,Europa y Asia central,kilograms,28,"2,775"
20220201,7307.99.50,"Iron/steel (o/than stainless), n/cast, fittings for tubes/pipes, nesoi, not forged or forged and machined, tooled & processed after forging",Finland,Europa y Asia central,kilograms,28,"2,778"
20220101,7217.10.80,"Iron/nonalloy steel, round wire, w/0.25% or more carbon, not plated or coated",China,Asia oriental y el Pacifico,kilograms,726,"2,168"
20220101,7318.15.20,"Iron or steel, bolts and bolts & their nuts or washers, imported in the same shipment",Taiwan,Asia oriental y el Pacifico,kilograms,323,"2,918"
20220201,7318.15.20,"Iron or steel, bolts and bolts & their nuts or washers, imported in the same shipment",Japan,Asia oriental y el Pacifico,kilograms,186,"3,089"
20220101,7317.00.55,"Iron or steel, nails, tacks, corrugated nails, staples & similar arts., of one piece construction, made of round wire, nesoi",Taiwan,Asia oriental y el Pacifico,kilograms,541,"2,827"
20220201,7313.00.00,"Iron/steel, barbed wire; iron/steel, twisted hoop or single flat wire and loosely twisted double wire, of a kind used for fencing",Dominican Rep,Gran Caribe,kilograms,399,"3,000"
20220201,7307.23.00,"Stainless steel, not cast, butt welding fittings for tubes/pipes",India,Asia meridional,kilograms,32,"3,500"
20220101,7317.00.55,"Iron or steel, nails, tacks, corrugated nails, staples & similar arts., of one piece construction, made of round wire, nesoi",China,Asia oriental y el Pacifico,kilograms,541,"3,204"
